Tamanyo del vector;Fuerza bruta aleatorio;Divide y Venceras aleatorio
396;647100;69900
397;694200;69900
398;667100;70700
399;585300;89100
400;611400;69700
401;647300;69700
402;904200;93900
403;797800;91400
404;742900;86300
405;808600;74700
406;670400;87400
407;860400;106500
408;951700;70800
409;699900;70700
410;667900;85800
411;717300;71100
412;652700;71800
413;761200;71900
414;839000;72300
415;630000;70800
416;602900;70100
417;643200;71200
418;726800;88700
419;679700;112800
420;765200;72500
421;843300;72900
422;702600;76200
423;683800;71600
424;650700;71600
425;704800;72400
426;710800;73400
427;703900;72500
428;745000;73600
429;711700;86600
430;674700;72700
431;745900;72100
432;804100;74000
433;685700;73100
434;862500;76700
435;703000;84900
436;687300;70600
437;716000;70400
438;712900;74100
439;837300;109500
440;702300;105100
441;702700;88100
442;731700;103400
443;716700;74600
444;788200;79400
445;747400;97000
446;699700;107000
447;746000;85000
448;750100;74600
449;784800;75200
450;740500;74300
451;736800;77600
452;687400;104500
453;721600;84700
454;788700;75300
455;874000;75100
456;746900;74600
457;726800;74500
458;740300;95000
459;739100;84100
460;749600;73400
461;715900;73200
462;702700;74200
463;901300;74800
464;737100;74100
465;730100;87800
466;733400;83700
467;782100;74100
468;845500;77300
469;772000;77300
470;749100;74600
471;765700;75300
472;689600;85600
473;823800;133400
474;763700;89100
475;787400;75300
476;754000;75900
477;813500;74700
478;866800;75200
479;777800;146600
480;779100;75500
481;742400;90000
482;760300;84500
483;762900;75300
484;744500;76100
485;763500;73800
486;973900;74700
487;746700;73500
488;723800;91000
489;755300;85500
490;850900;76600
491;799800;94300
492;994200;75300
493;783800;75700
494;825900;76700
495;746000;74700
496;760200;75800
497;735900;97100
498;781100;90500
499;757900;88800
500;725000;109900
501;896800;75000
502;921500;76200
503;750800;74800
504;854400;75800
505;788500;77500
506;819500;74800
507;792300;77500
508;835400;109100
509;808300;85900
510;782600;86100
511;838600;87300
512;863900;95800
513;919900;80500
514;1072000;75500
515;863800;85300
516;836500;76400
517;826100;79800
518;838800;76600
519;907800;76600
520;749700;76700
521;812900;77100
522;862000;76700
523;911900;79300
524;860800;77400
525;840500;76900
526;825600;89300
527;780000;87800
528;902800;139200
529;938800;81600
530;956100;108000
531;832600;78400
532;925200;103700
533;954200;147400
534;974800;85100
535;875300;90900
536;861400;77200
537;831200;77400
538;847600;77300
539;840800;77700
540;815100;81000
541;786600;77200
542;809200;76800
543;870800;76600
544;987600;95600
545;895600;96600
546;878800;78100
547;853300;77300
548;841600;120600
549;1081500;117100
550;1098200;115900
551;1096900;81800
552;879100;82700
553;841200;98000
554;921900;79200
555;861200;77800
556;871600;76300
557;885400;76300
558;861700;76300
559;848900;77400
560;1088500;81400
561;872800;79600
562;1007400;98500
563;946200;126000
564;828400;110400
565;847000;105900
566;851700;87500
567;892000;89000
568;888900;77700
569;883500;88300
570;829700;86600
571;899300;87100
572;883200;87900
573;877000;86100
574;906200;93200
575;954900;89000
576;1017500;86000
577;884800;89300
578;1023800;127000
579;886000;97000
580;910600;95200
581;901400;90400
582;896500;89600
583;898900;80400
584;874300;93000
585;882900;94300
586;869400;93200
587;877100;96000
588;886300;94800
589;882700;91300
590;938200;105100
591;889900;189800
592;949100;78900
593;887100;81000
594;967800;78100
595;994900;78900
596;973200;79900
597;912000;78800
598;909900;77800
599;954800;78000
600;927000;86700
601;943600;98600
602;944500;77700
603;892200;78600
604;925500;78300
605;943300;78600
606;938800;96400
607;903700;77200
608;892600;80700
609;973200;78900
610;934400;77900
611;892600;76900
612;857600;82700
613;976100;99200
614;922100;78300
615;950300;79100
616;854500;77600
617;908800;79300
618;928300;79900
619;942400;78800
620;875700;78500
621;985100;78900
622;1010800;91900
623;1088000;90100
624;943000;95600
625;953400;91400
626;970800;90900
627;1055500;86100
628;999900;78900
629;945000;115600
630;907600;78700
631;973600;80100
632;977300;79700
633;1008000;79900
634;932500;79200
635;941900;81200
636;973500;82900
637;1019500;79500
638;947600;79600
639;968800;90200
640;867200;91100
641;995500;80300
642;992700;79600
643;981700;92100
644;923200;92400
645;938000;91000
646;976500;92500
647;1037600;85400
648;923400;86500
649;920200;84100
650;915400;122600
651;1161600;120900
652;1115400;80700
653;928000;79100
654;923200;76800
655;981900;77300
656;909700;77800
657;1167200;113800
658;1122600;123800
659;1016700;84400
660;1061200;78100
661;1001000;78200
662;926700;78600
663;961700;79300
664;1015900;79900
665;972800;135700
666;1089100;92500
667;931800;93000
668;994600;79800
669;1033900;99000
670;1082800;93900
671;955700;94100
672;923600;89900
673;1069000;88200
674;905600;104600
675;982200;81400
676;980000;81200
677;1053400;79700
678;995400;97300
679;1043400;79500
680;1033500;79900
681;962700;91600
682;980100;91700
683;953100;95700
684;1156900;80200
685;940100;80400
686;952700;80700
687;971400;119100
688;1113100;103000
689;979900;81200
690;1003300;93900
691;964000;91500
692;950700;91900
693;1020400;94100
694;939800;122200
695;1018400;83700
696;963600;83400
697;1042700;96900
698;945600;80000
699;953500;80800
700;1055600;79100
701;979800;79100
702;1169100;126100
703;956200;133900
704;993300;77700
705;1021400;84700
706;1155700;79100
707;1050200;144800
708;1204000;120800
709;1012100;79300
710;1027500;81400
711;972100;79400
712;986400;116300
713;968200;80100
714;1047500;80300
715;1051300;79600
716;1009800;93400
717;983800;92200
718;1198500;81600
719;1168100;78900
720;1110400;79600
721;991200;78500
722;1032800;91200
723;1145700;96000
724;1086200;78700
725;1007200;78400
726;992800;81300
727;981800;80300
728;1045300;80800
729;982600;94400
730;1112500;87800
731;975000;106300
732;1088100;134700
733;1065900;81800
734;1194300;100300
735;1042600;91700
736;1022200;89300
737;1072600;81600
738;972700;80900
739;997100;81600
740;1063900;81200
741;1159300;92100
742;1027800;97900
743;972800;93200
744;992000;126700
745;1039400;81600
746;1014700;81400
747;1242600;82100
748;1052500;80400
749;1077800;93200
750;1062700;107900
751;1014500;80700
752;963200;81900
753;1029300;1592300
754;1184400;80600
755;1089100;81600
756;1092800;100200
757;1101300;92000
758;1034900;91500
759;1100800;81200
760;1137200;81200
761;1139700;81600
762;1042200;93300
763;989200;115000
764;1031100;118100
765;1147800;82000
766;1021300;81400
767;967300;79900
768;985200;81100
769;1023400;81500
770;1111000;92600
771;1032200;95400
772;1144100;82000
773;1108400;85200
774;1200600;81600
775;1004900;93300
776;1021400;116300
777;1111200;102500
778;1251200;101900
779;1082000;91600
780;1087900;119200
781;1136800;126300
782;1100300;83400
783;1094600;81400
784;1109600;82400
785;1057200;108600
786;1018100;136200
787;1030300;80900
788;1157000;84500
789;1055000;80800
790;1044600;100300
791;1057100;112900
792;1083700;81600
793;1297600;123200
794;1276900;119400
795;1237000;81900
796;1050600;82000
797;1143000;85800
798;1094500;104400
799;1002800;129300
800;980800;87400
801;986100;82100
802;1140100;81700
803;1299000;97700
804;1032300;90600
805;1039800;82300
806;1114400;84900
807;1140700;94500
808;1144900;81800
809;1054700;83100
810;1157000;119900
811;1064100;82200
812;1032100;98600
813;1089400;82200
814;1012200;81800
815;1103900;102200
816;1127700;82800
817;1018700;93300
818;1054600;94000
819;1064400;80500
820;1147900;79400
821;1015900;79800
822;1064900;147500
823;1240400;100400
824;1170100;185500
825;1015600;93300
826;1016000;79000
827;1036900;96200
828;1122800;79500
829;1031900;138000
830;1073200;96300
831;1096800;122600
832;1094800;80100
833;1031700;80100
834;1026000;80100
835;971100;79600
836;971600;81100
837;1221000;81500
838;1050700;161700
839;1052700;82700
840;1064800;98300
841;1155900;85200
842;1056500;94300
843;994600;91700
844;1117200;82900
845;1075100;82400
846;1087500;83800
847;1011900;80900
848;1100900;139000
849;1080500;130500
850;1090700;98800
851;1111100;82700
852;1071300;82200
853;1070200;101600
854;1046700;95400
855;1039200;98600
856;1057700;83000
857;1159600;97500
858;1094000;94400
859;1072700;93100
860;1026300;123400
861;1017200;82900
862;1085300;81900
863;1008200;81700
864;1167000;82400
865;1157600;113000
866;1051100;82600
867;1009600;82100
868;1025500;81900
869;1044100;91000
870;1032600;92000
871;1228500;81500
872;1100900;86000
873;1062800;80700
874;1155200;158400
875;1085100;155900
876;1230400;81400
877;1192000;95400
878;1144000;129600
879;1099900;83300
880;1045000;83300
881;1149900;82400
882;1181100;82800
883;1048300;85800
884;1074500;90100
885;1007200;86000
886;1180700;83600
887;1183100;95300
888;1082700;83000
889;1156500;100000
890;1192200;97600
891;1105600;91400
892;1089300;95300
893;1019700;109700
894;1071800;83900
895;1061700;82100
896;1035400;89100
897;1145400;95000
898;1134200;155900
899;1220600;83900
900;1013300;83600
901;1032100;95600
902;1337600;85600
903;1251400;118000
904;1102600;80900
905;1037100;92900
906;1225100;112700
907;1190800;80600
908;1103700;88800
909;1054100;95400
910;999900;95100
911;1065200;82000
912;1121200;83000
913;1114300;82900
914;1208600;83800
915;1215600;84100
916;1252500;139900
917;1231100;107700
918;1158600;83800
919;1160600;81700
920;1023400;88400
921;1083600;92700
922;1126300;95200
923;1233100;82100
924;1098300;83400
925;1094600;82000
926;1147400;82500
927;1082000;251500
928;1104800;92900
929;1126400;83500
930;1063900;92800
931;1145700;89600
932;1038500;88500
933;1063800;82400
934;1018200;81200
935;1061500;81900
936;1129500;92300
937;1051800;94800
938;1039800;81400
939;1053400;85300
940;1214600;83300
941;1176100;82600
942;1096800;134400
943;1038100;81100
944;1099000;87000
945;1069000;82500
946;1158400;82800
947;1040200;89800
948;1131000;82700
949;1032000;81900
950;1011700;83400
951;1044600;81700
952;1041100;94000
953;1137000;134900
954;1264200;83600
955;1218900;83200
956;1357100;90900
957;1057900;83300
958;1116900;82800
959;1070300;96500
960;1094800;96700
961;1063700;82300
962;1060600;82200
963;1090900;94000
964;1124900;82900
965;1068100;94900
966;1013200;98100
967;1221600;140200
968;1129000;88200
969;1185600;79900
970;993200;92500
971;1003000;130800
972;1092300;85400
973;1162200;80900
974;1042300;80400
975;1036400;94000
976;1035500;92800
977;998900;145000
978;1130400;81000
979;1024400;80700
980;1019600;81600
981;1279500;102100
982;1172200;166400
983;1069700;80200
984;1066400;79900
985;1055000;83400
986;1196400;91400
987;1108100;94400
988;1044900;80600
989;1100300;102800
990;1104900;81000
991;1052500;93800
992;1072100;137800
993;1086800;125900
994;1260100;103700
995;1441400;115200
996;1209400;85100
997;1293300;88000
998;1221200;84700
999;1057800;82800
1000;1121800;83400
